Discovery_Type,Label,Warehouse_Source,Volume,Unique_Buyers,Countries,Recent_12m_Share_Pct,Lean_Fit,Open_World_Score
TITLE_TERM,systems,MULTI,4158,1368,63,39.15343915343915,31.267039922103212,92.91459057071961
TITLE_TERM,server,MULTI,2092,509,52,34.799235181644356,50.5129205265724,92.88411910669976
TITLE_TERM,survey,MULTI,1472,509,30,44.29347826086956,28.94162087912088,92.84813895781637
TITLE_TERM,adobe,MULTI,735,288,31,36.19047619047619,63.54545454545455,92.82522746071133
TITLE_TERM,advanced,MULTI,607,237,41,41.5156507413509,36.46192893401015,92.82220016542597
TITLE_TERM,solution,MULTI,5211,2190,49,33.37171368259451,51.716814159292035,92.81645988420183
TITLE_TERM,media,MULTI,2415,924,51,36.81159420289855,35.84718614718615,92.80009925558312
TITLE_TERM,study,MULTI,842,385,39,46.79334916864608,29.065853658536586,92.79159636062862
TITLE_TERM,managed,MULTI,1531,905,30,37.36120182887002,36.42338709677419,92.78807278742762
TITLE_TERM,licensing,MULTI,255,183,16,52.94117647058823,38.627450980392155,92.65882547559966
CATEGORY_COHORT,Creative / communications :: Design / publishing,France,10328,4588,1,26.2006196746708,82.0,92.64666666666668
TITLE_TERM,manager,MULTI,1350,558,44,36.666666666666664,37.869424168694245,92.57705541770059
TITLE_TERM,system,MULTI,18397,3457,83,35.5275316627711,35.438380281690144,92.54640198511169
TITLE_TERM,analysis,MULTI,1290,478,46,39.224806201550386,32.736421725239616,92.52896608767577
CATEGORY_COHORT,Automation / software :: IT services / software,Ireland,1136,244,1,29.753521126760564,60.0,92.44166666666666
TITLE_TERM,integration,MULTI,1851,860,40,35.116153430578066,39.949745906267644,92.43599669148057
TITLE_TERM,automated,MULTI,529,231,31,39.886578449905485,39.614481409001954,92.39488833746898
TITLE_TERM,business,MULTI,2568,975,61,35.90342679127726,35.46511627906977,92.3470140612076
TITLE_TERM,microsoft,MULTI,4071,1323,57,32.3262097764677,61.61687484068315,92.32911497105044
TITLE_TERM,migration,MULTI,1221,587,29,34.56183456183456,48.713913043478264,92.2957981803143
CATEGORY_COHORT,Automation / software :: Software / automation,Ireland,1023,212,1,29.03225806451613,72.0,92.25166666666667
TITLE_TERM,database,MULTI,466,237,37,38.8412017167382,44.63392857142857,92.25148056244831
TITLE_TERM,print,MULTI,526,350,12,38.21292775665399,41.73725490196078,92.2356989247312
TITLE_TERM,core,MULTI,703,312,42,38.54907539118066,36.46998535871157,92.18147229114972
TITLE_TERM,technical,MULTI,1948,598,94,36.652977412731005,34.27282211789254,92.17543424317618
TITLE_TERM,datacenter,MULTI,427,173,31,40.28103044496487,43.950520833333336,92.15523573200993
TITLE_TERM,design,MULTI,4828,1596,79,35.91549295774648,33.420394736842105,92.15227460711333
TITLE_TERM,film,MULTI,331,178,29,40.483383685800604,49.87850467289719,92.14547559966915
TITLE_TERM,betrieb,MULTI,2972,1272,8,36.33916554508748,41.36550793115086,92.12117452440033
CATEGORY_COHORT,Creative / communications :: Design / publishing,Canada federal,464,89,1,30.81896551724138,80.0,92.075
TITLE_TERM,content,MULTI,422,214,32,38.15165876777251,50.18939393939394,92.02213399503722
TITLE_TERM,experience,MULTI,488,313,33,40.16393442622951,34.79826464208243,91.97927212572372
TITLE_TERM,engineer,MULTI,711,240,23,39.66244725738397,34.2,91.94545905707196
TITLE_TERM,information,MULTI,5266,1937,58,33.383972654766424,38.75673565013667,91.8546071133168
TITLE_TERM,upgrade,MULTI,2647,939,48,39.93199848885531,28.557480314960628,91.84104218362282
CATEGORY_COHORT,Monitoring / research :: Monitoring / analysis,France,17105,6068,1,24.88161356328559,70.0,91.83666666666667
TITLE_TERM,communications,MULTI,907,588,31,33.73759647188534,52.235690235690235,91.7890653432589
TITLE_TERM,resource,MULTI,533,305,28,40.33771106941839,33.25868725868726,91.71412737799835
CATEGORY_COHORT,Creative / communications :: Design / publishing,Quebec,14342,782,1,24.466601589736438,82.0,91.69166666666668
TITLE_TERM,application,MULTI,1738,955,42,33.3716915995397,40.91957605985037,91.66861869313482
TITLE_TERM,user,MULTI,618,216,26,38.67313915857605,35.84,91.64780810587261
TITLE_TERM,online,MULTI,2086,738,48,33.988494726749764,38.85663082437276,91.63492142266338
TITLE_TERM,creative,MULTI,436,258,23,38.99082568807339,38.95465393794749,91.632688172043
TITLE_TERM,hardware,MULTI,3445,1083,48,33.120464441219156,41.70383586083854,91.59609594706369
TITLE_TERM,connect,MULTI,355,203,26,49.57746478873239,29.838805970149252,91.56850289495452
TITLE_TERM,oracle,MULTI,1747,450,55,32.11219232970807,60.67332549941246,91.55904052936313
TITLE_TERM,automatic,MULTI,386,199,35,38.86010362694301,42.634408602150536,91.49882547559967
TITLE_TERM,update,MULTI,275,147,23,44.0,38.72868217054263,91.47733664185277
TITLE_TERM,governance,MULTI,332,183,37,42.7710843373494,35.651612903225804,91.47523573200992
TITLE_TERM,secure,MULTI,381,196,24,43.56955380577428,32.86351706036746,91.45803143093465
TITLE_TERM,gateway,MULTI,375,198,44,40.8,36.12737127371274,91.43353184449958
TITLE_TERM,artificial,MULTI,516,114,20,40.69767441860465,38.025440313111545,91.39498759305212
TITLE_TERM,portfolio,MULTI,320,182,26,41.5625,37.616129032258065,91.39187758478081
TITLE_TERM,informatica,MULTI,1647,129,10,41.16575591985428,44.3131498470948,91.35961952026469
TITLE_TERM,code,MULTI,895,381,25,34.30167597765363,42.4052812858783,91.31025641025641
TITLE_TERM,identity,MULTI,336,166,32,37.79761904761905,55.829268292682926,91.28488006617039
TITLE_TERM,connection,MULTI,281,119,21,49.11032028469751,33.039855072463766,91.21488833746898
TITLE_TERM,marketing,MULTI,1271,614,37,34.146341463414636,37.67892976588629,91.20112489660877
TITLE_TERM,video,MULTI,2620,1089,57,30.419847328244273,69.54141656662665,91.14489660876757
TITLE_TERM,audio,MULTI,976,473,43,33.19672131147541,46.94918918918919,91.07576509511995
TITLE_TERM,external,MULTI,1349,668,28,43.587842846553,26.334082397003744,91.0679569892473
TITLE_TERM,development,MULTI,4288,1347,73,38.80597014925373,27.52003794166469,91.01909015715466
TITLE_TERM,strategic,MULTI,817,449,52,44.798041615667074,26.73423980222497,90.96686517783293
TITLE_TERM,interreg,MULTI,506,137,35,42.29249011857708,31.728813559322035,90.96181968569066
TITLE_TERM,lizenzen,MULTI,3165,602,4,35.00789889415482,57.69699842022117,90.93414392059555
TITLE_TERM,licences,MULTI,3698,1014,23,30.070308274743105,64.45601436265709,90.90090984284532
TITLE_TERM,power,MULTI,1503,548,60,36.72654690618762,30.182751540041068,90.89425971877586
CATEGORY_COHORT,Automation / software :: Software / automation,Quebec,7739,539,1,23.504328724641425,74.0,90.86000000000001
TITLE_TERM,storage,MULTI,2117,834,48,34.76617855455834,32.36420345489444,90.85781637717122
TITLE_TERM,corporate,MULTI,640,346,29,41.40625,28.656,90.84451612903226
TITLE_TERM,cisco,MULTI,1033,332,40,33.10745401742498,46.50588235294118,90.83520264681556
TITLE_TERM,teams,MULTI,427,218,30,35.831381733021075,46.948019801980195,90.81655913978496
TITLE_TERM,office,MULTI,3152,1120,55,36.6751269035533,28.70909090909091,90.75014061207611
TITLE_TERM,backup,MULTI,845,286,43,33.13609467455621,48.79496402877698,90.71872622001655
TITLE_TERM,library,MULTI,742,319,31,40.296495956873315,28.744154057771663,90.70436724565756
TITLE_TERM,verkehr,MULTI,501,259,4,41.516966067864274,42.45908183632734,90.70357320099255
TITLE_TERM,build,MULTI,1271,632,36,37.76553894571204,29.135813953488373,90.6985111662531
TITLE_TERM,senior,MULTI,1777,367,29,33.53967360720315,35.95843989769821,90.69723738626965
TITLE_TERM,gigabit,MULTI,844,463,2,36.25592417061611,61.98696682464455,90.69023986765922
TITLE_TERM,partner,MULTI,1230,626,29,36.58536585365854,30.57206012378426,90.67333333333333
TITLE_TERM,technologies,MULTI,637,297,43,34.065934065934066,44.306930693069305,90.65450785773366
TITLE_TERM,tracking,MULTI,288,184,23,41.31944444444444,35.0,90.62714640198512
TITLE_PATTERN,warme drankenvoorziening,TenderNed,35,23,1,31.428571428571427,74.0,90.60813841717399
TITLE_PATTERN,warme drankenautomaten,TenderNed,17,14,1,41.17647058823529,74.0,90.60253123998717
TITLE_PATTERN,services de telecommunications,France,36,32,1,27.77777777777778,82.0,90.59115668055111
TITLE_TERM,unified,MULTI,307,158,29,37.13355048859935,55.99317406143345,90.5777171215881
TITLE_TERM,consultancy,MULTI,4086,1186,44,39.13362701908957,26.89794344473008,90.57019023986767
TITLE_TERM,smart,MULTI,1325,447,56,34.41509433962264,33.63884555382215,90.56061207609596
TITLE_TERM,evaluation,MULTI,3155,1444,35,31.632329635499207,39.28694499668655,90.53118279569892
TITLE_TERM,studio,MULTI,493,180,32,39.553752535496955,32.05555555555556,90.52979321753516
TITLE_TERM,exchange,MULTI,285,150,36,39.64912280701754,40.10948905109489,90.5276923076923
TITLE_TERM,line,MULTI,892,306,56,37.10762331838565,30.78843930635838,90.50903225806454
TITLE_TERM,bereitstellung,MULTI,1635,601,9,36.02446483180428,44.63669724770642,90.49326716294459
TITLE_PATTERN,ki server,Germany,17,7,1,64.70588235294117,60.0,90.47052226850369
TITLE_TERM,linux,MULTI,293,95,27,38.225255972696246,59.044117647058826,90.45877584780811
