Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status,Award_Count,Tender_Award_Linkage_Pct,Award_Value_Coverage_Pct,Bidder_Count_Coverage_Pct,Median_Bidder_Count,Single_Bid_Share_Pct,Competition_Opportunity_Score,Known_Value_Awards,Currency_Cohorts,Relative_Value_Score,Observed_Suppliers,Top_Supplier_Share_Pct,Supplier_HHI,Supplier_Fragmentation_Score,Award_Evidence_Score,Enriched_Opportunity_Score,Easy_Money_Enriched_Score,Expected_Profit_Proxy,AI_Leverage_Enriched_Score,Middleman_Enriched_Score,Enrichment_Contract,Enriched_Status
Brochure / flyer / poster printing,PRINT_BROKERAGE,8454,3611,9,62,66.0,29.784717293588837,0.22,0.99,0.88,0.88,0.9,0.78,3839,539,45.410456588597114,0.9574468085106383,1.0,0.8085106382978723,0.2765957446808511,0.5957446808510638,76.9286170212766,89.43510638297873,59.9340425531915,90.38510638297872,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,11910,46.226638277738346,69.10159529806884,56.16288832913518,3.0,29.86993571535357,57.96098071460607,8228,12,38.60354981035392,2439,9.40591161837871,0.019074885352108953,94.3432999232052,56.07000039925654,68.08486713739595,80.53999968196595,70.78165178614246,56.343960350210565,79.58218165273543,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Signage / wayfinding / vinyl,PRINT_BROKERAGE,3197,1844,9,33,15.0,29.30872693149828,0.28,0.98,0.55,0.82,0.72,0.8,1291,251,40.38160775727244,0.8936170212765957,0.9361702127659575,0.6808510638297872,0.2127659574468085,0.0,64.26010638297872,76.45851063829787,59.32340425531915,87.67021276595746,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,1487,38.94275883640913,80.09414929388029,61.26429051782112,1.0,53.238199780461024,85.97145993413831,1191,9,49.180184586820296,879,1.9607843137254908,0.0029239882681467563,98.87340842972992,57.984635478074075,69.48794548321676,79.8759476501584,73.83858470320307,60.39978843406398,80.0484703766758,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Website maintenance / content updates,WEB_DIGITAL,220,153,8,24,20.0,30.454545454545457,0.7,0.82,0.95,0.82,0.82,0.82,52,11,23.636363636363637,0.574468085106383,0.6595744680851063,0.3191489361702128,0.3617021276595745,0.14893617021276595,55.3913829787234,78.94148936170212,64.27446808510638,75.3872340425532,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,112,44.09090909090909,66.07142857142857,42.857142857142854,1.0,50.0,85.0,65,4,54.88047237139164,83,6.593406593406594,0.0183525875833568,95.78566732412887,50.314935064935064,65.02207583073009,79.81716275404901,75.97820610185653,64.23994526852997,71.84383322227471,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Microsites / campaign landing pages,WEB_DIGITAL,12,10,5,10,82.0,8.333333333333332,0.82,0.88,0.98,0.88,0.86,0.86,3,1,25.0,0.06382978723404255,0.06382978723404255,0.3617021276595745,0.0425531914893617,0.7659574468085106,42.32255319148936,83.81702127659575,51.351063829787236,74.15531914893617,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,10,58.333333333333336,60.0,60.0,2.0,50.0,74.5,,,50.0,7,20.0,0.16000000000000003,82.0,59.333333333333336,54.72794326241135,79.232695035461,74.11095744680851,53.862411347517735,69.83429078014186,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Graphic design / layout,CONTENT_DESIGN,664,471,8,27,82.0,27.86144578313253,0.82,0.92,0.98,0.92,0.88,0.84,162,29,24.397590361445783,0.8085106382978723,0.8297872340425532,0.3404255319148936,0.14893617021276595,0.7659574468085106,69.1855319148936,86.10425531914895,77.32127659574468,83.30212765957448,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,465,42.7710843373494,70.10752688172043,53.54838709677419,3.0,34.53815261044177,59.36144578313253,324,8,46.30826257917035,293,6.483790523690774,0.013593689231131275,96.07842027659805,54.20520792848815,65.72939692503307,79.06191341649695,72.8256139016244,69.71753797863448,76.1209851861076,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Small IT equipment supply,PROCUREMENT_BROKERAGE,4607,1158,9,76,20.0,33.01497720859562,0.1,0.98,0.8,0.7,0.78,0.48,3214,140,69.76340351638811,0.9148936170212766,0.8936170212765957,0.9574468085106383,0.5319148936170213,0.14893617021276595,71.52361702127659,80.27446808510638,50.57659574468085,80.21063829787234,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,13532,67.00672889081832,75.57641146911025,61.12178539757612,2.0,39.54781767621811,71.36434530286543,10223,14,34.108291457635474,1584,12.232372700445781,0.040222514144930194,91.8726879425306,67.81215061633324,67.72879761492644,78.9859447603945,63.71505728387898,51.04690280102512,73.22164246814872,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
E-learning / training content,TRAINING,613,300,9,34,60.0,31.321370309951057,0.86,0.86,0.98,0.76,0.78,0.86,183,22,29.853181076672104,0.7872340425531915,0.7446808510638298,0.5531914893617021,0.40425531914893614,0.40425531914893614,68.67127659574467,79.23191489361702,79.74680851063829,80.27872340425533,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,395,43.882544861337685,81.77215189873418,70.63291139240506,2.0,44.086021505376344,72.7258064516129,321,10,32.61140612995674,236,4.972375690607735,0.012369848634385755,96.89531972297684,63.27453693187684,66.62576932657996,78.98446613344615,69.38242468529475,71.15078436869544,73.08986679774485,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Presentation / template design,CONTENT_DESIGN,65,31,6,18,20.0,29.230769230769234,0.88,0.94,0.99,0.94,0.92,0.88,32,5,49.23076923076923,0.2978723404255319,0.23404255319148937,0.851063829787234,0.19148936170212766,0.14893617021276595,53.862659574468076,93.36063829787233,66.37872340425531,84.55106382978724,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,76,46.15384615384615,92.10526315789474,80.26315789473684,3.0,9.836065573770492,51.950819672131146,59,2,23.785257660552976,20,45.94594594594595,0.24032140248356465,65.01095690284879,70.17206477732793,50.898981299894494,78.50736501141613,66.11625646049811,58.73658023814118,72.04428230646234,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Promotional merchandise / branded items,PRINT_BROKERAGE,174,137,8,13,15.0,33.33333333333333,0.18,0.99,0.9,0.88,0.88,0.76,23,6,13.218390804597702,0.5106382978723404,0.574468085106383,0.1702127659574468,0.5531914893617021,0.0,48.34329787234043,82.85212765957446,36.231914893617024,79.24680851063832,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,97,41.95402298850575,58.76288659793814,52.577319587628864,2.0,43.13725490196079,72.44117647058823,52,2,85.1320744136347,63,19.736842105263154,0.0536703601108033,87.44806094182826,50.1836710510724,62.68368503906951,78.1924817532651,81.29224584903079,47.885452787189564,78.04340989325017,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Document digitization / scanning,DATA_ADMIN,8091,2212,9,75,92.0,30.255839822024473,0.72,0.95,0.55,0.84,0.82,0.82,3348,366,41.37931034482759,0.9361702127659575,0.9574468085106383,0.723404255319149,0.3404255319148936,1.0,80.84893617021277,79.63404255319149,80.91914893617022,87.90851063829787,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,6667,45.39611914472871,64.51177441127943,61.93190340482976,2.0,37.03075805279729,70.60922741583917,4295,14,50.98525939234644,2372,6.266161802733657,0.007968811803187061,96.46847850847382,56.09155100272424,74.64552787810977,77.99999576396667,73.15646170492688,74.15669345589126,80.04432377486538,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
