Niche,Currency,Known_Value_Awards,P10_Award_Value,P25_Award_Value,Median_Award_Value,P75_Award_Value,P90_Award_Value
Website maintenance / content updates,CHF,1,943172.5,943172.5,943172.5,943172.5,943172.5
Website maintenance / content updates,CZK,1,7702000.0,7702000.0,7702000.0,7702000.0,7702000.0
Workflow automation / RPA,CAD,374,26292.341372151375,29586.192,35820.94239999999,62785.85600000001,526751.8709500016
Workflow automation / RPA,EUR,77,40398.00022833049,137910.1125,390000.0,1327753.5125000002,2635535.459496975
Workflow automation / RPA,HUF,41,3039580.937216878,5203512.75,8321172.0,30313149.0,43894123.39160371
Workflow automation / RPA,GBP,33,76926.8594902479,326034.25,24000000.0,26000000.0,26000000.0
Workflow automation / RPA,PLN,25,87500.00321488827,232523.415,470178.63,1528638.31,12965258.00744849
Workflow automation / RPA,CZK,20,447500.02387166023,3037141.5,13234809.085,49526926.41,69519414.0923365
Workflow automation / RPA,RON,4,483000.0,628221.9,23733566.904999997,59658845.004999995,72624000.0
Workflow automation / RPA,SEK,3,5000000.0,6250000.0,10000000.0,25000000.0,30000000.0
Workflow automation / RPA,NOK,1,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0
Workflow automation / RPA,CHF,1,937164.85,937164.85,937164.85,937164.85,937164.85
Workflow automation / RPA,DKK,1,5200000.0,5200000.0,5200000.0,5200000.0,5200000.0
