Niche,Macro_Category,Historical_Tender_ID,Title,Buyer_ID,Buyer_Name,Country,Warehouse_Source,Publication_Date,Deadline,Category,Subcategory,Currency,Official_Estimated_Value,Source_URL,Source_Reference
Animation / motion design,VIDEO_AUDIO,ten_390193771cc3c0696eeb,Conception et production d’animations en motion design,buy_69b4b0c5801f73def668,Société de l'assurance automobile du Québec .,Canada - Quebec,Quebec,2025-09-08,2025-10-14,Creative / communications,Design / publishing,CAD,,,
Animation / motion design,VIDEO_AUDIO,ten_7a24893eb48240b0f5cb,"Réalisation de captations, reportages vidéo et de films d'animation en motion design pour la Région Normandie",buy_11fe3b9fa2f09fbe6dc3,REGION NORMANDIE,France,France,2025-08-10,2025-06-11,Creative / communications,Design / publishing,EUR,,,
Animation / motion design,VIDEO_AUDIO,ten_58757937c6b0b9597a77,Réalisation de prestations audiovisuelles en motion design ou en flat design pour le compte de France Éducation international (FEI),buy_6ad2b42f829b166ca10a,France Education International,France,France,2025-07-09,2025-10-10,Creative / communications,Design / publishing,EUR,,,
Animation / motion design,VIDEO_AUDIO,ten_589549d66612cbc9ee50,La conception et la réalisation de films en motion design.-.,buy_871fb333004b57603461,Collectivité,France,France,2025-01-30,,Monitoring / research,Monitoring / analysis,EUR,,,
Animation / motion design,VIDEO_AUDIO,ten_15805bbf14ab048d0b75,Captation Vidéo / Motion design sur le continent africain,buy_2249dfdc5b43fad04106,Agence Française de Développement,France,France,2024-12-08,2024-08-30,Creative / communications,Design / publishing,EUR,,,
Annual report / publication layout,CONTENT_DESIGN,ten_5620c1507fe23230dcaf,Severn Trent Water Annual Report and Accounts,buy_3eaaaf2e26f52b974089,SEVERN TRENT WATER LIMITED,United Kingdom,United Kingdom,2026-07-29,2026-08-25,Creative / communications,Design / publishing,GBP,600000.0,,
Annual report / publication layout,CONTENT_DESIGN,ted_87881aa4762145caa4a2,"New Rjukan treatment facility, collaboration contract",buy_581df20f038735ed5497,Tinn kommune,NOR,TED,2026-06-12,,Other,UNKNOWN,,,,
Annual report / publication layout,CONTENT_DESIGN,ted_d6e162aa88b37743c23f,Training in alternative training arena - Østfold,buy_581df20f038735ed5497,"Anskaffelser i Akershus, Buskerud og Østfold KO",NOR,TED,2026-06-08,2026-07-03,Other,UNKNOWN,,,,
Annual report / publication layout,CONTENT_DESIGN,ten_aa6e8767cabc992f174c,Rapport annuel état infrastructures et intégration technologique,buy_94bbb2527fc55747223a,Ville de Shawinigan,Canada - Quebec,Quebec,2026-05-29,,Other,UNKNOWN,CAD,,,
Annual report / publication layout,CONTENT_DESIGN,ten_365c208d612e8f938e8a,"NRW Statutory Financial Audit of Annual Report and Accounts, IDD Accounts",buy_078068ab3d39eaeed570,Natural Resources Wales,United Kingdom,United Kingdom,2026-04-22,,Creative / communications,Design / publishing,GBP,,,
Annual report / publication layout,CONTENT_DESIGN,ted_aacb50794ff3434168b8,Framework agreement internal audit services - Helsedir,buy_581df20f038735ed5497,Norsk Helsenett SF,NOR,TED,2026-04-15,2026-05-19,Creative / communications,Design / publishing,NOK,40000000.0,,
Annual report / publication layout,CONTENT_DESIGN,ted_41f9779192702c15faa9,Framework agreement internal audit services,buy_581df20f038735ed5497,Norad – Direktoratet for utviklingssamarbeid,NOR,TED,2026-03-24,2026-04-23,Other,UNKNOWN,NOK,15000000.0,,
Annual report / publication layout,CONTENT_DESIGN,bel_1b2c89f3a5260446984a1a09,Support copywriting et infographie pour le rapport annuel de durabilité,buy_6b3f3d8c0601b4a006f6ec16,SNCB-Procurement,BE,Belgium,2026-02-23,,,,,,https://www.publicprocurement.be/publication-workspaces/dd266335-6c47-4718-86a9-8fb0b4ea51ee,
Annual report / publication layout,CONTENT_DESIGN,bel_57d02ed4d4806ad36c34a628,Photos,buy_b2bb3392d16d9c4190463be7,Sibelga,BE,Belgium,2026-02-02,,,,,,https://www.publicprocurement.be/publication-workspaces/ef1281af-8882-40a9-9885-9a4b4588a80e,
Annual report / publication layout,CONTENT_DESIGN,bel_1c5a174bfd6db9a44a98b011,"Conception, photographie, illustration et prépresse du rapport annuel",buy_04c059d20a2ee3d20bdbaffe,FSMA,BE,Belgium,2026-01-19,,,,,,https://www.publicprocurement.be/publication-workspaces/6d05e173-3e64-4ede-9ace-436e7cd214c9,
Annual report / publication layout,CONTENT_DESIGN,bel_9dc4b5d92cb014915c79f8a1,Impression et livraison du rapport annuel,buy_04c059d20a2ee3d20bdbaffe,FSMA,BE,Belgium,2025-12-11,,,,,,https://www.publicprocurement.be/publication-workspaces/26e5d08a-f608-4146-a93a-f9be9651cc76,
Annual report / publication layout,CONTENT_DESIGN,ten_fe8b2b06abec2173f29e,PS25278 - Re-commissioning & report design,buy_e55cc49c62224cdd58a2,UK Research and Innovation,United Kingdom,United Kingdom,2025-11-12,,Other,UNKNOWN,GBP,,,
Brand identity / visual identity,CONTENT_DESIGN,ted_d612beb79122efae2b85,"Achiziție servicii de marketing, branding și promovare pentru lansarea pe piață a platformei de mobilitate urbană RINO (ride-hailing / shared mobility) și a aplicațiilor mobile aferente",buy_56f10621e0007ccb73ca,PROPTECH INDUSTRY SRL,ROU,TED,2026-08-04,2026-09-08,Printing,Print / routing,RON,1245597.1,,
Brand identity / visual identity,CONTENT_DESIGN,bel_e5f41116f77e9d3f89a52743,RO Bibbalie altijd en zelfstandig,buy_e200b996fe0fe20c807e8ca0,AG Digipolis Antwerpen,BE,Belgium,2026-07-29,2026-08-20,,,,,https://www.publicprocurement.be/publication-workspaces/21aedbf7-761e-4de0-b165-02a14770f162,
Brand identity / visual identity,CONTENT_DESIGN,ten_8fc29ac574824c531cdd,Branding and Intellectual Property Rights Review,buy_b36c3c47ce15e437480b,The Mayor and Commonalty and Citizens of the City of London,United Kingdom,United Kingdom,2026-07-24,2026-08-19,Other,UNKNOWN,GBP,90000.0,,
Brand identity / visual identity,CONTENT_DESIGN,bel_34b5e766d01d3a932f95357f,Accompagnement à la mise en oeuvre du Plan Communal de Mobilité,buy_3502bdfe00c1e0a6a5f83522,Court-Saint-Etienne,BE,Belgium,2026-07-24,2026-08-03,,,,,https://www.publicprocurement.be/publication-workspaces/9e6f3585-ea15-41b7-b1c5-6ba21be91207,
