Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status
Fleet management software & services,FLEET,147,109,7,14,20.0,40.136054421768705,0.62,0.92,0.9,0.66,0.68,0.84,31,4,21.08843537414966,40.0,46.666666666666664,53.333333333333336,80.0,20.0,50.46666666666667,58.92,61.010000000000005,71.156,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Architectural programming / pre-design studies,SPECIALIST_CONSULTING,204,172,1,1,70.0,22.058823529411764,0.52,0.98,0.72,0.38,0.52,0.86,13,3,6.372549019607843,56.666666666666664,70.0,10.0,6.666666666666667,73.33333333333333,48.666666666666664,51.16,53.5,70.08,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Environmental studies / contaminated land / GHG,SPECIALIST_CONSULTING,225,179,9,14,15.0,31.11111111111111,0.48,0.98,0.62,0.36,0.5,0.86,32,9,14.222222222222221,60.0,76.66666666666667,30.0,40.0,0.0,48.00000000000001,53.48666666666666,50.10000000000001,69.60000000000001,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Laboratory / hospital information systems,HEALTH_IT,36,22,4,12,60.0,47.22222222222222,0.62,0.84,0.94,0.3,0.42,0.92,15,2,41.666666666666664,6.666666666666667,3.3333333333333335,86.66666666666667,90.0,46.666666666666664,47.43333333333334,38.9,60.245000000000005,64.042,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Access control / intrusion systems,SECURITY_RESALE,103,71,9,14,15.0,46.601941747572816,0.24,0.98,0.42,0.66,0.62,0.8,23,4,22.33009708737864,33.33333333333333,33.33333333333333,60.0,86.66666666666667,0.0,45.266666666666666,47.953333333333326,36.27,70.852,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Mobile application development,SOFTWARE_SERVICES,110,94,8,14,74.0,26.36363636363636,0.9,0.92,0.99,0.76,0.76,0.92,9,3,8.181818181818182,36.666666666666664,43.333333333333336,16.666666666666664,13.333333333333334,90.0,44.36666666666667,57.07,70.815,70.394,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Structured cabling / network installation,FIELD_SUBCONTRACT,184,150,7,9,15.0,28.26086956521739,0.1,0.99,0.3,0.72,0.58,0.76,31,8,16.847826086956523,50.0,60.0,46.666666666666664,26.666666666666668,0.0,43.2,53.10666666666667,27.94,70.564,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Ticketing / booking / reservation systems,TRANSACTION_SOFTWARE,85,64,9,15,20.0,32.94117647058823,0.76,0.9,0.99,0.64,0.68,0.9,19,4,22.352941176470587,26.666666666666668,26.666666666666668,63.33333333333333,50.0,20.0,42.36666666666667,54.830000000000005,64.315,67.394,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Data migration services,DATA_SERVICES,43,37,6,6,72.0,51.162790697674424,0.9,0.9,0.99,0.66,0.72,0.92,3,1,6.976744186046512,10.0,16.666666666666664,13.333333333333334,96.66666666666667,83.33333333333334,42.333333333333336,43.67,69.89999999999999,67.78,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Press review / clipping services,MONITORING_CONTENT,51,35,4,4,74.0,15.686274509803921,0.96,0.98,0.99,0.92,0.9,0.9,13,3,25.49019607843137,13.333333333333334,13.333333333333334,66.66666666666666,0.0,90.0,41.43333333333333,57.99,71.895,72.842,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Online payments / payment platforms,PAYMENTS,99,82,6,10,15.0,47.474747474747474,0.54,0.88,0.99,0.48,0.56,0.88,9,3,9.090909090909092,30.0,40.0,23.333333333333332,93.33333333333333,0.0,40.0,48.04333333333334,54.45,63.83999999999999,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
GIS / geospatial information systems,GEO_SOFTWARE,67,56,8,10,82.0,32.83582089552239,0.78,0.88,0.96,0.54,0.62,0.88,3,1,4.477611940298507,20.0,23.333333333333332,6.666666666666667,46.666666666666664,96.66666666666667,39.7,42.28,63.465,64.314,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Project / portfolio management software,PROJECT_SOFTWARE,28,23,7,10,60.0,57.14285714285714,0.74,0.9,0.99,0.68,0.72,0.88,0,0,0.0,3.3333333333333335,6.666666666666667,0.0,100.0,46.666666666666664,30.8,39.07666666666667,58.31,62.736000000000004,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Social media management & community,COMMUNICATIONS,23,14,6,6,15.0,30.434782608695656,0.94,0.96,0.99,0.92,0.86,0.9,6,1,26.08695652173913,0.0,0.0,73.33333333333333,36.666666666666664,0.0,28.433333333333334,52.92333333333333,65.245,66.62200000000001,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Electronic signature / trust services,TRUST_SERVICES,76,65,7,10,20.0,27.631578947368425,0.62,0.94,0.99,0.72,0.78,0.84,0,0,0.0,23.333333333333332,30.0,0.0,23.333333333333332,20.0,25.43333333333333,49.190000000000005,51.095,62.002,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Citizen engagement / participation platforms,CIVIC_TECH,62,53,7,7,15.0,20.967741935483872,0.82,0.92,0.99,0.78,0.78,0.88,9,3,14.516129032258064,16.666666666666664,20.0,33.33333333333333,3.3333333333333335,0.0,23.5,51.343333333333334,58.22500000000001,61.42999999999999,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
