Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status,Award_Count,Tender_Award_Linkage_Pct,Award_Value_Coverage_Pct,Bidder_Count_Coverage_Pct,Median_Bidder_Count,Single_Bid_Share_Pct,Competition_Opportunity_Score,Known_Value_Awards,Currency_Cohorts,Relative_Value_Score,Observed_Suppliers,Top_Supplier_Share_Pct,Supplier_HHI,Supplier_Fragmentation_Score,Award_Evidence_Score,Enriched_Opportunity_Score,Easy_Money_Enriched_Score,Expected_Profit_Proxy,AI_Leverage_Enriched_Score,Middleman_Enriched_Score,Enrichment_Contract,Enriched_Status
Call center / contact center services & platforms,CONTACT_CENTER,526,266,9,32,20.0,35.17110266159696,0.78,0.96,0.95,0.72,0.68,0.84,244,14,46.38783269961977,93.33333333333333,93.33333333333333,90.0,56.666666666666664,20.0,75.96666666666667,85.72333333333333,79.635,83.986,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,319,49.80988593155894,80.25078369905957,58.93416927899686,3.0,22.872340425531913,55.861702127659576,253,7,69.903392093469,152,7.5403949730700175,0.022698971901064364,95.09485391841177,61.67944026604051,72.23463997802881,78.75234587323106,77.96775540102402,74.90015104008835,80.75383823246558,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Procurement / e-sourcing platforms,PROCUREMENT_TECH,1031,253,7,28,20.0,37.73035887487876,0.72,0.86,0.99,0.5,0.6,0.9,769,36,74.58777885548011,96.66666666666667,90.0,96.66666666666667,66.66666666666666,20.0,79.4,82.51666666666667,79.38,80.02799999999999,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,1065,43.35596508244423,61.690140845070424,79.6244131455399,2.0,26.7688679245283,67.53066037735849,650,5,32.57063158313643,363,11.64682539682539,0.034825275399361304,92.43532353161925,59.73675223016079,70.32209677761213,78.72927249489733,69.89662263888314,70.19149838671434,72.12100231364846,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
LMS / e-learning platforms,LEARNING_TECH,321,214,9,26,60.0,38.940809968847354,0.82,0.9,0.99,0.68,0.72,0.9,70,13,21.806853582554517,80.0,86.66666666666667,56.666666666666664,73.33333333333333,46.666666666666664,71.66666666666666,77.64333333333333,79.9,80.1,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,206,54.82866043613707,76.2135922330097,48.54368932038835,2.0,47.0,73.6,153,6,30.604958600419963,131,4.507042253521127,0.010958143225550481,97.19857171196192,59.35864864047425,67.83186672661623,77.93948395417505,69.08626348796784,70.84867622208671,72.31146582530661,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Asset management software,ASSET_SOFTWARE,241,185,9,22,40.0,42.738589211618255,0.72,0.88,0.98,0.6,0.66,0.88,36,9,14.937759336099585,66.66666666666666,80.0,40.0,83.33333333333334,43.333333333333336,64.53333333333333,68.8,72.54,75.344,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,177,63.48547717842324,86.44067796610169,74.01129943502825,1.0,61.06870229007634,88.3206106870229,151,4,59.10749551915299,115,3.0395136778115504,0.012444452656571927,97.85802052826563,73.52978409170828,72.25920438935617,77.53580362581526,75.09076753566825,72.15267460116064,74.97850478987034,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Geotechnical investigations & studies,FIELD_SUBCONTRACT,1180,716,7,12,70.0,22.88135593220339,0.28,0.99,0.38,0.34,0.44,0.86,440,93,37.28813559322034,100.0,100.0,83.33333333333334,10.0,73.33333333333333,79.56666666666666,68.91333333333334,52.705000000000005,83.038,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,981,68.13559322033899,88.37920489296636,76.2487257900102,1.0,68.04812834224599,90.41443850267379,866,2,35.89602252920389,208,14.925373134328362,0.03984160301889879,90.54523328189087,76.64261649302857,76.1372785660892,77.23126767545459,68.6103614025578,55.151478054299396,76.07788835687253,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Backup / disaster recovery / storage,INFRA_RESALE,418,165,9,45,60.0,39.23444976076555,0.38,0.96,0.88,0.62,0.68,0.8,144,17,34.44976076555024,86.66666666666667,66.66666666666666,80.0,76.66666666666667,46.666666666666664,73.76666666666667,75.80666666666667,61.595,81.662,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,304,50.239234449760765,77.30263157894737,75.98684210526316,2.0,40.692640692640694,71.7077922077922,232,9,34.25477202332937,145,6.690140845070419,0.01777122117354271,95.76636851878766,66.08253588516746,69.2438712245283,77.00843397456,67.42883202221327,58.72962181853699,74.40340624389492,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Market research / surveys / data collection,RESEARCH_SERVICES,267,204,8,16,70.0,34.831460674157306,0.92,0.96,0.96,0.84,0.82,0.88,40,12,14.9812734082397,76.66666666666667,83.33333333333334,43.333333333333336,53.333333333333336,73.33333333333333,68.80000000000001,78.34666666666666,82.16,82.57600000000001,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,295,49.438202247191015,48.13559322033898,81.01694915254237,2.0,20.920502092050206,65.77615062761505,140,4,32.109829026591115,194,4.929577464788731,0.013892284565266087,96.84059703934233,58.521043610740804,64.98181636398296,76.62409070916512,68.1992728880576,71.8321415972872,74.027038418997,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Communications campaigns & public relations,COMMUNICATIONS,240,172,8,22,20.0,26.666666666666668,0.88,0.97,0.98,0.88,0.84,0.88,62,12,25.833333333333332,63.33333333333333,70.0,70.0,16.666666666666664,20.0,55.766666666666666,77.76,74.995,77.88199999999999,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,187,66.66666666666667,86.09625668449198,55.080213903743314,3.0,32.038834951456316,58.6116504854369,161,5,45.64762045538637,110,8.9171974522293,0.018932478667153523,94.59477734052767,69.01960784313727,59.3632646249383,75.58150748248026,70.0791304207149,68.6557885090085,73.83188158667444,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Telephony / VoIP / unified communications,TELECOM_RESALE,242,127,9,30,20.0,35.9504132231405,0.28,0.97,0.78,0.64,0.68,0.78,64,11,26.446280991735538,73.33333333333333,53.333333333333336,76.66666666666667,60.0,20.0,61.133333333333326,68.88000000000001,50.41,76.73599999999999,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,144,40.49586776859504,89.58333333333333,55.55555555555556,1.0,65.0,89.5,126,5,28.72230691403154,77,20.8955223880597,0.061984851860102476,86.45299621296502,59.74001377410468,64.40731301377313,74.72595080935523,65.05887634980438,51.532346725809965,68.8060470358117,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
HR / workforce / time management software,HR_SOFTWARE,163,135,9,15,72.0,38.036809815950924,0.78,0.9,0.99,0.68,0.72,0.9,14,4,8.588957055214724,46.666666666666664,56.666666666666664,20.0,70.0,83.33333333333334,56.0,60.07666666666667,71.25,73.52,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,88,47.239263803680984,73.86363636363636,52.27272727272727,1.0,78.26086956521739,93.47826086956522,63,3,73.71898266851775,53,5.714285714285714,0.02367346938775511,95.9591836734694,56.73661461238148,70.18624867215672,71.80535785283827,76.57423649824449,73.11750421785325,74.11542722886276,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Mobile application development,SOFTWARE_SERVICES,110,94,8,14,74.0,26.36363636363636,0.9,0.92,0.99,0.76,0.76,0.92,9,3,8.181818181818182,36.666666666666664,43.333333333333336,16.666666666666664,13.333333333333334,90.0,44.36666666666667,57.07,70.815,70.394,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,73,55.45454545454545,91.78082191780823,78.08219178082192,1.0,78.94736842105263,93.68421052631578,65,3,47.57345775282584,48,12.121212121212121,0.03518135904499542,92.18032598714416,73.14072229140723,60.93126281480514,71.2664632324755,68.93852861586824,69.7319758301258,69.42422349077901,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Press review / clipping services,MONITORING_CONTENT,51,35,4,4,74.0,15.686274509803921,0.96,0.98,0.99,0.92,0.9,0.9,13,3,25.49019607843137,13.333333333333334,13.333333333333334,66.66666666666666,0.0,90.0,41.43333333333333,57.99,71.895,72.842,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,47,68.62745098039215,95.74468085106383,80.85106382978724,1.0,60.526315789473685,88.15789473684211,45,2,54.54498426327988,15,20.0,0.11111111111111113,84.44444444444444,80.42970379641218,58.99592288779212,70.23571599367631,69.10087472079073,71.3455223029968,72.01646246357765,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Document management / ECM / GED,DOCUMENT_SOFTWARE,155,72,7,21,60.0,29.677419354838708,0.86,0.9,0.99,0.7,0.76,0.9,79,5,50.96774193548387,43.333333333333336,36.666666666666664,93.33333333333333,33.33333333333333,46.666666666666664,56.00000000000001,66.55,74.45,73.72,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,122,65.16129032258064,92.62295081967213,71.31147540983606,2.0,48.275862068965516,73.98275862068965,108,3,48.437991924071596,41,41.07142857142857,0.1863042091836735,70.14907525510205,75.24484399788471,60.83940023815312,69.44589741219171,67.01431929963155,70.54121685057395,69.72309071390941,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Identity / SSO / access management,IDENTITY_SECURITY,241,150,9,26,60.0,27.385892116182575,0.72,0.88,0.98,0.52,0.62,0.9,50,11,20.74688796680498,66.66666666666666,60.0,50.0,20.0,46.666666666666664,55.4,64.94,68.43,70.908,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,195,50.20746887966805,55.8974358974359,78.46153846153847,3.0,31.372549019607842,58.41176470588235,103,5,70.18836718888491,78,14.184397163120568,0.03734721593481209,91.0404406216991,60.39067985955953,62.03418607465709,67.09448702038729,71.64190056527349,67.28996554189895,71.7615671264586,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
E-government / electronic administration platforms,GOVTECH,321,33,1,2,60.0,31.775700934579437,0.78,0.86,0.99,0.52,0.62,0.9,289,3,90.03115264797508,80.0,10.0,100.0,43.333333333333336,46.666666666666664,62.63333333333333,66.78999999999999,74.235,73.18599999999999,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,293,74.14330218068535,97.61092150170649,80.88737201365188,1.0,54.85232067510548,86.45569620253164,286,1,51.72413793103448,18,77.00348432055749,0.6047784967645595,31.259333001493278,83.20680892688165,63.65270034332157,67.03522008341848,65.90182221328769,72.52903075625241,66.77613488249266,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Citizen engagement / participation platforms,CIVIC_TECH,62,53,7,7,15.0,20.967741935483872,0.82,0.92,0.99,0.78,0.78,0.88,9,3,14.516129032258064,16.666666666666664,20.0,33.33333333333333,3.3333333333333335,0.0,23.5,51.343333333333334,58.22500000000001,61.42999999999999,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,49,61.29032258064516,87.75510204081633,65.3061224489796,1.0,53.125,85.9375,39,2,37.81197808538717,38,5.063291139240507,0.02771991668001922,96.08235859637878,70.43449637919684,47.73925739140579,66.88213676070983,63.122022047651335,58.544771531767914,62.25298221036564,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Electronic signature / trust services,TRUST_SERVICES,76,65,7,10,20.0,27.631578947368425,0.62,0.94,0.99,0.72,0.78,0.84,0,0,0.0,23.333333333333332,30.0,0.0,23.333333333333332,20.0,25.43333333333333,49.190000000000005,51.095,62.002,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,65,67.10526315789474,78.46153846153847,80.0,1.0,67.3076923076923,90.1923076923077,50,3,18.38486716325628,41,18.96551724137931,0.057830459770114966,87.6257183908046,74.38056680161944,45.99445845877808,65.67487597724418,56.704134783740685,51.26248918380018,59.25965859373085,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
